Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YG 2026 Bedding Plants (from each range) EM3493D,Active,yg-2026-bedding-plants-from-each-range-em3493d,Email,98421,567,0,0,0,0,0,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3493C,Active,yg-2026-bedding-plants-from-each-range-em3493c,Email,39792,410,22.72,0.01,4.0,90.87,2.28,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3493B,Active,yg-2026-bedding-plants-from-each-range-em3493b,Email,39846,846,29.34,0.03,11.0,322.7,8.1,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3493A,Inactive,yg-2026-bedding-plants-from-each-range-em3493a,Email,12,21,0,0,0,0,0,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3469E,Inactive,yg-2026-bedding-plants-from-each-range-em3469e,Email,9390,228,17.99,0.01,1.0,17.99,1.92,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3469DE,Inactive,yg-2026-bedding-plants-from-each-range-em3469de,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3469D,Active,yg-2026-bedding-plants-from-each-range-em3469d,Email,98172,931,72.39,0.0,2.0,144.78,1.47,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3469C,Active,yg-2026-bedding-plants-from-each-range-em3469c,Email,38903,778,24.48,0.01,4.0,97.91999999999999,2.52,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3469B,Active,yg-2026-bedding-plants-from-each-range-em3469b,Email,37619,1697,33.79,0.06,21.0,709.69,18.87,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3469A,Inactive,yg-2026-bedding-plants-from-each-range-em3469a,Email,6232,109,32.31,0.05,3.0,96.91999999999999,15.55,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3458E,Inactive,yg-2026-bedding-plants-from-each-range-em3458e,Email,9827,268,0,0,0,0,0,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3458D,Inactive,yg-2026-bedding-plants-from-each-range-em3458d,Email,97635,901,42.96,0.0,3.0,128.87,1.32,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3458C,Active,yg-2026-bedding-plants-from-each-range-em3458c,Email,38656,756,40.4,0.02,8.0,323.20000000000005,8.36,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3458B,Active,yg-2026-bedding-plants-from-each-range-em3458b,Email,38582,1658,29.63,0.03,12.0,355.59,9.22,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3458A,Inactive,yg-2026-bedding-plants-from-each-range-em3458a,Email,6538,124,19.99,0.02,1.0,19.99,3.06,0,0,0,0,0
YG 120s CLEARANCE EM3536E,Inactive,yg-120s-clearance-em3536e,Email,12623,100,45.63,0.04,5.0,228.16000000000003,18.07,0,0,0,0,0
YG 120s CLEARANCE EM3536D,Active,yg-120s-clearance-em3536d,Email,92648,223,19.97,0.0,3.0,59.91,0.65,0,0,0,0,0
YG 120s CLEARANCE EM3536C,Active,yg-120s-clearance-em3536c,Email,30952,185,19.97,0.0,1.0,19.97,0.65,0,0,0,0,0
YG 120s CLEARANCE EM3536B,Active,yg-120s-clearance-em3536b,Email,44059,397,18.43,0.01,6.0,110.58,2.51,0,0,0,0,0
YG 120s CLEARANCE EM3536A,Inactive,yg-120s-clearance-em3536a,Email,7420,45,19.97,0.01,1.0,19.97,2.69,0,0,0,0,0
YG 120s CLEARANCE EM3521E,Inactive,yg-120s-clearance-em3521e,Email,11544,100,0,0,0,0,0,0,0,0,0,0
YG 120s CLEARANCE EM3521D,Active,yg-120s-clearance-em3521d,Email,92112,236,39.95,0.0,2.0,79.89,0.87,0,0,0,0,0
